31  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
32  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
32  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
32  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
32  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
32  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
32  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
32  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
32  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
32  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
33  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
33  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
33  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
33  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
33  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
33  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
33  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
33  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
33  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
34  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
34  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
34  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
34  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
34  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
34  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
34  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
34  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
34  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
35  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
35  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
35  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
35  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
35  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
35  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
35  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
35  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
35  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
36  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
36  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
36  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
36  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
36  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
36  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
36  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
36  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
36  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
37  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
37  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
37  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
37  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
37  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
37  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
37  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
37  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
37  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
38  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
38  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
38  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
38  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
