20 	 6 	 10  	 4  	 7818.955909 	 2.100000 	 1 
20 	 7 	 10  	 2  	 74.243328 	 0.100000 	 0 
20 	 1 	 10  	 1  	 498.896331 	 0.800000 	 0 
20 	 2 	 10  	 3  	 1311.007253 	 1.050000 	 1 
20 	 3 	 10  	 2  	 1431.504881 	 1.000000 	 0 
20 	 4 	 10  	 2  	 1961.818550 	 0.100000 	 1 
20 	 5 	 10  	 4  	 19397.958547 	 1.150000 	 5 
20 	 6 	 10  	 5  	 22863.153332 	 0.450000 	 2 
20 	 7 	 10  	 2  	 1150.331223 	 0.150000 	 0 
2 	 1 	 10  	 1  	 6133.450822 	 2.000000 	 0 
2 	 2 	 10  	 1  	 0.000000 	 0.000000 	 0 
2 	 3 	 10  	 2  	 528.129862 	 1.000000 	 0 
2 	 4 	 10  	 5  	 14069.802156 	 1.000000 	 2 
2 	 5 	 10  	 4  	 11495.793005 	 3.500000 	 1 
2 	 6 	 10  	 1  	 472.210067 	 0.500000 	 0 
2 	 7 	 10  	 1  	 0.000000 	 0.000000 	 0 
20 	 1 	 10  	 1  	 60251.954390 	 2.000000 	 0 
20 	 2 	 10  	 2  	 24.060167 	 0.900000 	 0 
20 	 3 	 10  	 3  	 1372.565098 	 2.000000 	 1 
20 	 4 	 10  	 1  	 1.708000 	 0.050000 	 0 
20 	 5 	 10  	 4  	 13.119983 	 0.100000 	 1 
20 	 6 	 10  	 3  	 52.731693 	 1.200000 	 1 
20 	 7 	 10  	 3  	 689.366464 	 0.150000 	 1 
20 	 1 	 10  	 3  	 5948.908724 	 3.700000 	 0 
20 	 2 	 10  	 2  	 952.424261 	 1.000000 	 1 
20 	 3 	 10  	 3  	 8021.138192 	 2.100000 	 4 
20 	 4 	 10  	 2  	 6773.721869 	 0.500000 	 3 
20 	 5 	 10  	 3  	 499.289880 	 0.400000 	 1 
20 	 6 	 10  	 1  	 895.921005 	 1.050000 	 0 
20 	 7 	 10  	 1  	 13612.981296 	 0.050000 	 0 
20 	 1 	 10  	 3  	 192520.421659 	 3.750000 	 0 
20 	 2 	 10  	 3  	 9137.812901 	 1.100000 	 0 
20 	 3 	 10  	 5  	 3113.574631 	 2.200000 	 2 
20 	 4 	 10  	 2  	 568.587591 	 1.200000 	 4 
20 	 5 	 10  	 5  	 4558.305570 	 1.500000 	 2 
20 	 6 	 10  	 2  	 3444.315446 	 1.200000 	 1 
